Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_vxsat,std_vec,cp_custom,cp_custom_vindexCorners,cp_custom_shift_wi_all,cp_custom_vreductionw
vwsubu.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vwsub.wv,WWV,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,wwv,,,
vwsub.wx,WWX,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,,,,,
vwsubu.wv,WWV,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,wwv,,,
vwsubu.wx,WWX,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,,,,,
vrsub.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vrsub.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vzext.vf2,VEXT,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,,x,vext2,,,
vzext.vf4,VEXT,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,,x,vext4,,,
vzext.vf8,VEXT,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,,x,vext8,,,
vsext.vf2,VEXT,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,,x,vext2,,,
vsext.vf4,VEXT,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,,x,vext4,,,
vsext.vf8,VEXT,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,,x,vext8,,,
vadc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,,,,,,
vadc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vadc.vim,VVIM,x,x,x,x,x,x,x,nv0,,nv0,,,,x,,nv0,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vsbc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,,,,,,
vsbc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmadc.vvm,MVVM,x,x,x,x,x,x,x,x,,nv0,,nv0,,,,,,nv0,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmadc.vxm,MVXM,x,x,x,x,x,x,x,x,,nv0,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmadc.vim,MVIM,x,x,x,x,x,x,x,x,,nv0,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmadc.vv,MVVC,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmadc.vx,MVXC,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmadc.vi,MVIC,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmsbc.vvm,MVVM,x,x,x,x,x,x,x,x,,nv0,,nv0,,,,,,nv0,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsbc.vxm,MVXM,x,x,x,x,x,x,x,x,,nv0,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsbc.vv,MVVC,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vmsbc.vx,MVXC,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,,nomask,nomask,x,,x,maskwrite_unmasked,,,
vand.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vand.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vand.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vor.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vor.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vor.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vxor.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vxor.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vxor.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vsll.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,shift_vv,,,
vsll.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,x,shift_vx,,,
vsll.vi,VVIU,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vsrl.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,shift_vv,,,
vsrl.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,x,shift_vx,,,
vsrl.vi,VVIU,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vnsrl.wv,VWV,x,x,x,x,x,,x,x,,emul2,,x,,,,,x,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,shift_wv,,,
vnsrl.wx,VWX,x,x,x,x,x,,x,x,,emul2,,,x,,,,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,x,shift_wx,,,
vnsrl.wi,VWI,x,x,x,x,x,,x,x,,emul2,,,,u,,,,,,emul2,,,,,,,wiu,,x,lmul4max,lmul4max,x,,x,shift_wi,,x,
vsra.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,shift_vv,,,
vsra.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,x,shift_vx,,,
vsra.vi,VVIU,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,,x,x,x,x,,,,,,
vnsra.wv,VWV,x,x,x,x,x,,x,x,,emul2,,x,,,,,x,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,,x,shift_wv,,,
vnsra.wx,VWX,x,x,x,x,x,,x,x,,emul2,,,x,,,,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,,x,shift_wx,,,
vnsra.wi,VWI,x,x,x,x,x,,x,x,,emul2,,,,u,,,,,,emul2,,,,,,,wiu,,x,lmul4max,lmul4max,x,,x,shift_wi,,x,
vmseq.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmseq.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmseq.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmsne.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsne.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsne.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmslt.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmslt.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsltu.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsltu.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsle.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsle.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsle.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmsleu.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsleu.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsleu.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmsgt.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsgt.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmsgtu.vx,MVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,,x,maskwrite_masked,,,
vmsgtu.vi,MVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,,x,maskwrite_masked,,,
vmin.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmin.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vminu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vminu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmax.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmax.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmaxu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmaxu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmul.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmul.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmulh.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmulh.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmulhu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmulhu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmulhsu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmulhsu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vwmul.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
vwmul.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vwmulu.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
vwmulu.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vwmulsu.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,x,wvv,,,
vwmulsu.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,x,wvx,,,
vdiv.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vdiv.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vdivu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vdivu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vrem.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vrem.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vremu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vremu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmacc.vv,VVV_ACC,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmacc.vx,VVX_ACC,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vnmsac.vv,VVV_ACC,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vnmsac.vx,VVX_ACC,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmadd.vv,VVV_ACC,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vmadd.vx,VVX_ACC,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vnmsub.vv,VVV_ACC,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,,,,,
vnmsub.vx,VVX_ACC,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vwmacc.vv,WVV_ACC,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,,,,,
vwmacc.vx,WVX_ACC,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,,,,,
vwmaccu.vv,WVV_ACC,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,,,,,
vwmaccu.vx,WVX_ACC,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,,,,,
vwmaccsu.vv,WVV_ACC,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,,,,,,
vwmaccsu.vx,WVX_ACC,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,,,,,
vwmaccus.vx,WVX_ACC,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,,,,,,
vmerge.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,,,,,,
vmerge.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,,,,,,
vmerge.vim,VVIM,x,x,x,x,x,x,x,nv0,,nv0,,,,x,,nv0,,,,x,,,,,,,x,,x,x,x,x,,,,,,
vmv.v.v,VMVVV,x,x,x,x,x,x,x,x,,,,x,,,,,x,,,,x,,,,,,,,,nomask,nomask,x,,,,,,
vmv.v.x,VMVVX,x,x,x,x,x,x,x,x,,,,,x,,,,,,,,,,,x,,,,,,nomask,nomask,x,,,,,,
vmv.v.i,VMVVI,x,x,x,x,x,x,x,x,,,,,,x,,,,,,,,,,,,,,,,nomask,nomask,x,,,,,,
vsadd.vv,VVV_SAT,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,x,,,,,
vsadd.vx,VVX_SAT,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,x,,,,,
vsadd.vi,VVI_SAT,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,x,,,,,
vsaddu.vv,VVV_SAT,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,x,,,,,
vsaddu.vx,VVX_SAT,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,x,,,,,
vsaddu.vi,VVI_SAT,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,x,,,,,
vssub.vv,VVV_SAT,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,x,,,,,
vssub.vx,VVX_SAT,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,x,,,,,
vssubu.vv,VVV_SAT,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,x,,,,,
vssubu.vx,VVX_SAT,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,x,,,,,
vaadd.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,,,,,
vaadd.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,,,,,
vaaddu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,,,,,
vaaddu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,,,,,
vasub.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,,,,,
vasub.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,,,,,
vasubu.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,,,,,
vasubu.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,,,,,
vsmul.vv,VVV_SAT,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,x,,,,,
vsmul.vx,VVX_SAT,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,no_rv32_sew64,,,,,
vssrl.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,x,shift_vv,,,
vssrl.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,x,shift_vx,,,
vssrl.vi,VVIU,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,x,x,x,x,x,,,,,,
vssra.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,x,x,x,x,,x,shift_vv,,,
vssra.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,x,,,x,x,x,x,,x,shift_vx,,,
vssra.vi,VVIU,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,x,x,x,x,x,,,,,,
vnclip.wv,VWV,x,x,x,x,x,,x,x,,emul2,,x,,,,,x,,,emul2,x,wv,wv,,,,,,x,lmul4max,lmul4max,x,,x,shift_wv,,,
vnclip.wx,VWX,x,x,x,x,x,,x,x,,emul2,,,x,,,,,,,emul2,,,,x,wx,wx,,,x,lmul4max,lmul4max,x,,x,shift_wx,,,
vnclip.wi,VWI,x,x,x,x,x,,x,x,,emul2,,,,u,,,,,,emul2,,,,,,,wiu,wi,x,lmul4max,lmul4max,x,,x,shift_wi,,x,
vnclipu.wv,VWV,x,x,x,x,x,,x,x,,emul2,,x,,,,,x,,,emul2,x,wv,wv,,,,,,x,lmul4max,lmul4max,x,,x,shift_wv,,,
vnclipu.wx,VWX,x,x,x,x,x,,x,x,,emul2,,,x,,,,,,,emul2,,,,x,wx,wx,,,x,lmul4max,lmul4max,x,,x,shift_wx,,,
vnclipu.wi,VWI,x,x,x,x,x,,x,x,,emul2,,,,u,,,,,,emul2,,,,,,,wiu,wi,x,lmul4max,lmul4max,x,,x,shift_wi,,x,
vredsum.vs,VVSR,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,x,red,,,
vwredsum.vs,WVWSR,x,x,x,x,x,,x,emul2,,x,,emul2,,,,,emul2,,,x,emul2,wred,,,,,,,x,lmul4max,lmul4max,x,,x,wred,,,x
vwredsumu.vs,WVWSR,x,x,x,x,x,,x,emul2,,x,,emul2,,,,,emul2,,,x,emul2,wred,,,,,,,x,lmul4max,lmul4max,x,,x,wred,,,x
